tconst	primaryTitle	startYear	genres	rating	votes
tt0111161	The Shawshank Redemption	1994	Drama	9.3	3032380
tt0068646	The Godfather	1972	Crime,Drama	9.2	2116815
tt0468569	The Dark Knight	2008	Action,Crime,Drama	9.0	3008955
tt0167260	The Lord of the Rings: The Return of the King	2003	Adventure,Drama,Fantasy	9.0	2070753
tt0108052	Schindler's List	1993	Biography,Drama,History	9.0	1517251
tt0071562	The Godfather Part II	1974	Crime,Drama	9.0	1424468
tt0110912	Pulp Fiction	1994	Crime,Drama	8.9	2326623
tt0120737	The Lord of the Rings: The Fellowship of the Ring	2001	Adventure,Drama,Fantasy	8.9	2100667
tt1375666	Inception	2010	Action,Adventure,Sci-Fi	8.8	2672878
tt0137523	Fight Club	1999	Crime,Drama,Thriller	8.8	2453690
tt0109830	Forrest Gump	1994	Drama,Romance	8.8	2369991
tt0167261	The Lord of the Rings: The Two Towers	2002	Adventure,Drama,Fantasy	8.8	1866871
tt0816692	Interstellar	2014	Adventure,Drama,Sci-Fi	8.7	2330808
tt0133093	The Matrix	1999	Action,Sci-Fi	8.7	2147869
tt0080684	Star Wars: Episode V - The Empire Strikes Back	1980	Action,Adventure,Fantasy	8.7	1435792
tt0099685	Goodfellas	1990	Biography,Crime,Drama	8.7	1320114
tt0073486	One Flew Over the Cuckoo's Nest	1975	Drama	8.7	1113334
tt0114369	Se7en	1995	Crime,Drama,Mystery	8.6	1902598
tt0102926	The Silence of the Lambs	1991	Crime,Drama,Horror	8.6	1628108
tt0120815	Saving Private Ryan	1998	Drama,War	8.6	1564550
tt0076759	Star Wars: Episode IV - A New Hope	1977	Action,Adventure,Fantasy	8.6	1502654
tt0120689	The Green Mile	1999	Crime,Drama,Fantasy	8.6	1479724
tt0103064	Terminator 2: Judgment Day	1991	Action,Adventure,Sci-Fi	8.6	1227911
tt0245429	Spirited Away	2001	Adventure,Animation,Family	8.6	905425
tt0317248	City of God	2002	Crime,Drama	8.6	834911
tt0118799	Life Is Beautiful	1997	Comedy,Drama,Romance	8.6	775609
tt1853728	Django Unchained	2012	Western	8.5	1783553
tt0172495	Gladiator	2000	Action,Adventure,Drama	8.5	1751923
tt0482571	The Prestige	2006	Drama,Mystery,Sci-Fi	8.5	1509073
tt0407887	The Departed	2006	Crime,Drama,Thriller	8.5	1482523
tt0088763	Back to the Future	1985	Adventure,Comedy,Sci-Fi	8.5	1372231
tt0110413	Léon: The Professional	1994	Action,Crime,Drama	8.5	1298726
tt0120586	American History X	1998	Crime,Drama	8.5	1228034
tt0110357	The Lion King	1994	Adventure,Animation,Drama	8.5	1198848
tt0114814	The Usual Suspects	1995	Crime,Drama,Mystery	8.5	1186501
tt2582802	Whiplash	2014	Drama,Music	8.5	1068089
tt6751668	Parasite	2019	Drama,Thriller	8.5	1054694
tt0078748	Alien	1979	Horror,Sci-Fi	8.5	1012262
tt1675434	The Intouchables	2011	Comedy,Drama	8.5	974450
tt0253474	The Pianist	2002	Biography,Drama,Music	8.5	964723
tt15239678	Dune: Part Two	2024	Action,Adventure,Drama	8.5	622074
tt10811166	The Kashmir Files	2022	Drama	8.5	576124
tt1345836	The Dark Knight Rises	2012	Action,Crime,Drama	8.4	1906582
tt0361748	Inglourious Basterds	2009	Adventure,Drama,War	8.4	1674384
tt0209144	Memento	2000	Mystery,Thriller	8.4	1374551
tt4154796	Avengers: Endgame	2019	Action,Adventure,Sci-Fi	8.4	1349003
tt4154756	Avengers: Infinity War	2018	Action,Adventure,Sci-Fi	8.4	1279995
tt0910970	WALL·E	2008	Adventure,Animation,Family	8.4	1256271
tt0081505	The Shining	1980	Drama,Horror	8.4	1162862
tt0082971	Raiders of the Lost Ark	1981	Action,Adventure	8.4	1071183
tt0090605	Aliens	1986	Action,Adventure,Horror	8.4	806415
tt0078788	Apocalypse Now	1979	Drama,Mystery,War	8.4	739814
tt4633694	Spider-Man: Into the Spider-Verse	2018	Action,Adventure,Animation	8.4	726213
tt2380307	Coco	2017	Adventure,Animation,Drama	8.4	646095
tt7286456	Joker	2019	Crime,Drama,Thriller	8.3	1601975
tt0169547	American Beauty	1999	Drama	8.3	1246291
tt1049413	Up	2009	Adventure,Animation,Comedy	8.3	1177206
tt0086190	Star Wars: Episode VI - Return of the Jedi	1983	Action,Adventure,Fantasy	8.3	1160739
tt0338013	Eternal Sunshine of the Spotless Mind	2004	Drama,Romance,Sci-Fi	8.3	1132917
tt0119217	Good Will Hunting	1997	Drama,Romance	8.3	1132394
tt0105236	Reservoir Dogs	1992	Crime,Thriller	8.3	1129126
tt0112573	Braveheart	1995	Biography,Drama,War	8.3	1126799
tt0114709	Toy Story	1995	Adventure,Animation,Comedy	8.3	1118593
tt0086250	Scarface	1983	Crime,Drama	8.3	961081
tt0180093	Requiem for a Dream	2000	Drama	8.3	935942
tt0435761	Toy Story 3	2010	Adventure,Animation,Comedy	8.3	928692
tt15398776	Oppenheimer	2023	Biography,Drama,History	8.3	879365
tt0211915	Amélie	2001	Comedy,Romance	8.3	816566
tt0113277	Heat	1995	Action,Crime,Drama	8.3	753832
tt0364569	Oldboy	2003	Action,Drama,Mystery	8.3	675964
tt0993846	The Wolf of Wall Street	2013	Biography,Comedy,Crime	8.2	1677638
tt0372784	Batman Begins	2005	Action,Crime,Drama	8.2	1641370
tt1130884	Shutter Island	2010	Drama,Mystery,Thriller	8.2	1542651
tt0120382	The Truman Show	1998	Comedy,Drama	8.2	1272213
tt0266697	Kill Bill: Vol. 1	2003	Action,Crime,Thriller	8.2	1246870
tt0266543	Finding Nemo	2003	Adventure,Animation,Comedy	8.2	1156350
tt0477348	No Country for Old Men	2007	Crime,Drama,Thriller	8.2	1117222
tt0107290	Jurassic Park	1993	Action,Adventure,Sci-Fi	8.2	1114664
tt0167404	The Sixth Sense	1999	Drama,Mystery,Thriller	8.2	1095942
tt0268978	A Beautiful Mind	2001	Biography,Drama,Mystery	8.2	1019490
tt0095016	Die Hard	1988	Action,Thriller	8.2	987504
tt0075314	Taxi Driver	1976	Crime,Drama	8.2	974661
tt10872600	Spider-Man: No Way Home	2021	Action,Adventure,Fantasy	8.2	945110
tt0208092	Snatch	2000	Comedy,Crime	8.2	943319
tt0066921	A Clockwork Orange	1971	Crime,Sci-Fi	8.2	909290
tt1392214	Prisoners	2013	Crime,Drama,Mystery	8.2	867004
tt0093058	Full Metal Jacket	1987	Drama,War	8.2	819318
tt1745960	Top Gun: Maverick	2022	Action,Drama	8.2	769217
tt8579674	1917	2019	Action,Drama,War	8.2	724093
tt0457430	Pan's Labyrinth	2006	Drama,Fantasy,War	8.2	723163
tt0469494	There Will Be Blood	2007	Drama	8.2	668490
tt0119488	L.A. Confidential	1997	Crime,Drama,Mystery	8.2	639283
tt6966692	Green Book	2018	Biography,Comedy,Drama	8.2	631106
tt0112641	Casino	1995	Crime,Drama	8.2	590021
tt0071853	Monty Python and the Holy Grail	1975	Adventure,Comedy,Fantasy	8.2	586202
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	2003	Action,Adventure,Fantasy	8.1	1261573
